pergunta,resposta
computador não liga,Verifica se o cabo de alimentação está bem ligado e tenta outra tomada.
ecrã azul,"Reinicia o computador, atualiza os drivers e verifica a memória RAM."
impressora não imprime,Verifica se há papel e tinta suficientes e reinstala os drivers.
teclado não funciona,Tenta ligar noutro USB ou testa com outro teclado.
wifi não conecta,Reinicia o router e verifica as configurações de rede.
telemóvel não carrega,"Verifica se o carregador e o cabo estão em bom estado, tenta outra tomada."
bateria do telemóvel não carrega,Limpa os terminais de carregamento do telemóvel e tenta outro carregador.
televisão sem sinal,"Verifica a antena, o cabo de ligação e reinicia a televisão."
microfone não funciona,"Verifica a ligação, testa com outro dispositivo ou atualiza os drivers de áudio."
auscultadores sem som,"Verifica o conector, tenta outro dispositivo ou ajusta as configurações de áudio."
carregador de portátil não funciona,"Verifica a tomada, o cabo e o adaptador de energia."
computador está lento,Fecha aplicações desnecessárias e faz uma limpeza no sistema.
monitor não exibe imagem,Verifica a ligação do cabo e o funcionamento do monitor.
rato não responde,Verifica se a bateria está carregada ou tenta ligar a outro computador.
modem não funciona,Reinicia o modem e verifica as ligações.
tablet não liga,Verifica a carga da bateria e tenta forçar a reinicialização.
frigorífico não arrefece,Verifica a temperatura e se o ventilador está a funcionar corretamente.
micro-ondas não aquece,Verifica se a chave de segurança está ativada e o sistema de fusíveis está intacto.
ventoinha não funciona,Verifica a alimentação elétrica e limpa a ventoinha.
carregador sem fios não carrega,Verifica se o dispositivo está bem posicionado e se o carregador sem fios está ligado.
câmera não liga,Verifica a bateria e tenta reiniciar a câmera.
ligação HDMI não funciona,"Verifica o cabo HDMI, a porta do dispositivo e tenta outro cabo."
monitor pisca,Verifica as configurações de frequência e a ligação do cabo.
processador superaquece,Verifica o sistema de refrigeração e a pasta térmica do processador.
router não distribui internet,Verifica a ligação do cabo e reinicia o router.
disco rígido não é reconhecido,Verifica a ligação do disco e tenta em outro computador.
cabo USB danificado,Tenta utilizar outro cabo USB ou testa em outra porta.
placa gráfica não funciona,Verifica a instalação da placa e atualiza os drivers.
ar condicionado não funciona,"Verifica o filtro de ar, a alimentação elétrica e reinicia o aparelho."
